
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.40920e+00 1.54996e+00 1.22709e+01 3.66551e-01 1.00058e+00 2.42199e-02 6.10597e-01 1.46397e+00 0.00000e+00 2.90004e+00 2.49394e-01 4.85732e-01 2.33392e-02 4.49795e-01 1.00585e+01 9.12080e-01 1.00058e+00 1.00058e+00 4.58340e+00 0.00000e+00 1.29928e+01 9.89628e-01 1.00000e+00 9.93811e-01 1.21996e+00 1.00000e+00 1.16764e+00 3.07475e-01 -4.54168e-01 2.07908e+00 -4.07911e+00 1.32908e+00 -5.19845e+00 -5.49703e+01 -5.49370e+01 -2.10048e-01 -2.09890e-01 -1.03799e+00 -2.40133e-01 -4.19734e+00 -5.33449e+00 3.61156e+01 6.09586e+01 5.91761e-02 -5.99452e+03 7.44087e+05 6.01745e+01 -2.95691e+07 2.05058e+01 1.95365e+01 1.92621e+01 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
3.2996700e-01 3.1333333e-01 -6.8285541e-01 -3.3877171e-02 3.2371020e-01 1.2456300e-01 4.9709058e+34 3.6655105e-01
3.2996700e-01 3.2000000e-01 -6.8280437e-01 -3.3871227e-02 3.2369150e-01 1.2454758e-01 4.9681658e+34 3.6655105e-01
3.2996700e-01 3.2666667e-01 -6.8275225e-01 -3.3865155e-02 3.2367241e-01 1.2453183e-01 4.9653688e+34 3.6655105e-01
3.2996700e-01 3.3333333e-01 -6.8269906e-01 -3.3858956e-02 3.2365293e-01 1.2451576e-01 4.9625149e+34 3.6655105e-01
3.2996700e-01 3.4000000e-01 -6.8264481e-01 -3.3852630e-02 3.2363306e-01 1.2449937e-01 4.9596041e+34 3.6655105e-01
3.2996700e-01 3.4666667e-01 -6.8258949e-01 -3.3846177e-02 3.2361280e-01 1.2448265e-01 4.9566366e+34 3.6655105e-01
3.2996700e-01 3.5333333e-01 -6.8253310e-01 -3.3839597e-02 3.2359215e-01 1.2446561e-01 4.9536124e+34 3.6655105e-01
3.2996700e-01 3.6000000e-01 -6.8247565e-01 -3.3832892e-02 3.2357112e-01 1.2444825e-01 4.9505317e+34 3.6655105e-01
3.2996700e-01 3.6666667e-01 -6.8241714e-01 -3.3826062e-02 3.2354971e-01 1.2443057e-01 4.9473945e+34 3.6655105e-01
3.2996700e-01 3.7333333e-01 -6.8235756e-01 -3.3819108e-02 3.2352793e-01 1.2441256e-01 4.9442009e+34 3.6655105e-01
3.2996700e-01 3.8000000e-01 -6.8229692e-01 -3.3812029e-02 3.2350577e-01 1.2439423e-01 4.9409511e+34 3.6655105e-01
3.2996700e-01 3.8666667e-01 -6.8223522e-01 -3.3804828e-02 3.2348323e-01 1.2437558e-01 4.9376451e+34 3.6655105e-01
3.2996700e-01 3.9333333e-01 -6.8217246e-01 -3.3797505e-02 3.2346032e-01 1.2435661e-01 4.9342831e+34 3.6655105e-01
3.2996700e-01 4.0000000e-01 -6.8210865e-01 -3.3790060e-02 3.2343705e-01 1.2433731e-01 4.9308652e+34 3.6655105e-01
3.2996700e-01 4.0666667e-01 -6.8204378e-01 -3.3782495e-02 3.2341340e-01 1.2431769e-01 4.9273916e+34 3.6655105e-01
3.2996700e-01 4.1333333e-01 -6.8197785e-01 -3.3774810e-02 3.2338939e-01 1.2429775e-01 4.9238622e+34 3.6655105e-01
3.2996700e-01 4.2000000e-01 -6.8191087e-01 -3.3767007e-02 3.2336500e-01 1.2427749e-01 4.9202773e+34 3.6655105e-01
3.2996700e-01 4.2666667e-01 -6.8184284e-01 -3.3759086e-02 3.2334025e-01 1.2425691e-01 4.9166369e+34 3.6655105e-01
3.2996700e-01 4.3333333e-01 -6.8177376e-01 -3.3751048e-02 3.2331513e-01 1.2423601e-01 4.9129412e+34 3.6655105e-01
3.2996700e-01 4.4000000e-01 -6.8170362e-01 -3.3742893e-02 3.2328964e-01 1.2421478e-01 4.9091902e+34 3.6655105e-01
3.2996700e-01 4.4666667e-01 -6.8163244e-01 -3.3734622e-02 3.2326378e-01 1.2419323e-01 4.9053841e+34 3.6655105e-01
3.2996700e-01 4.5333333e-01 -6.8156021e-01 -3.3726236e-02 3.2323755e-01 1.2417137e-01 4.9015229e+34 3.6655105e-01
3.2996700e-01 4.6000000e-01 -6.8148692e-01 -3.3717735e-02 3.2321093e-01 1.2414918e-01 4.8976068e+34 3.6655105e-01
3.2996700e-01 4.6666667e-01 -6.8141259e-01 -3.3709119e-02 3.2318394e-01 1.2412667e-01 4.8936357e+34 3.6655105e-01
3.2996700e-01 4.7333333e-01 -6.8133721e-01 -3.3700389e-02 3.2315657e-01 1.2410385e-01 4.8896098e+34 3.6655105e-01
3.2996700e-01 4.8000000e-01 -6.8126079e-01 -3.3691544e-02 3.2312881e-01 1.2408070e-01 4.8855291e+34 3.6655105e-01
3.2996700e-01 4.8666667e-01 -6.8118331e-01 -3.3682584e-02 3.2310065e-01 1.2405723e-01 4.8813937e+34 3.6655105e-01
3.2996700e-01 4.9333333e-01 -6.8110479e-01 -3.3673510e-02 3.2307211e-01 1.2403344e-01 4.8772037e+34 3.6655105e-01
3.2996700e-01 5.0000000e-01 -6.8102522e-01 -3.3664320e-02 3.2304316e-01 1.2400934e-01 4.8729590e+34 3.6655105e-01
3.2996700e-01 5.0666667e-01 -6.8094460e-01 -3.3655014e-02 3.2301381e-01 1.2398491e-01 4.8686597e+34 3.6655105e-01
3.2996700e-01 5.1333333e-01 -6.8086293e-01 -3.3645593e-02 3.2298406e-01 1.2396016e-01 4.8643059e+34 3.6655105e-01
3.2996700e-01 5.2000000e-01 -6.8078022e-01 -3.3636054e-02 3.2295389e-01 1.2393510e-01 4.8598975e+34 3.6655105e-01
3.2996700e-01 5.2666667e-01 -6.8069645e-01 -3.3626397e-02 3.2292331e-01 1.2390972e-01 4.8554346e+34 3.6655105e-01
3.2996700e-01 5.3333333e-01 -6.8061164e-01 -3.3616622e-02 3.2289232e-01 1.2388401e-01 4.8509172e+34 3.6655105e-01
3.2996700e-01 5.4000000e-01 -6.8052577e-01 -3.3606727e-02 3.2286090e-01 1.2385799e-01 4.8463454e+34 3.6655105e-01
3.2996700e-01 5.4666667e-01 -6.8043886e-01 -3.3596712e-02 3.2282907e-01 1.2383165e-01 4.8417192e+34 3.6655105e-01
3.2996700e-01 5.5333333e-01 -6.8035090e-01 -3.3586575e-02 3.2279682e-01 1.2380499e-01 4.8370385e+34 3.6655105e-01
3.2996700e-01 5.6000000e-01 -6.8026189e-01 -3.3576315e-02 3.2276414e-01 1.2377802e-01 4.8323035e+34 3.6655105e-01
3.2996700e-01 5.6666667e-01 -6.8017183e-01 -3.3565932e-02 3.2273105e-01 1.2375072e-01 4.8275142e+34 3.6655105e-01
3.2996700e-01 5.7333333e-01 -6.8008072e-01 -3.3555425e-02 3.2269755e-01 1.2372311e-01 4.8226706e+34 3.6655105e-01
3.2996700e-01 5.8000000e-01 -6.7998856e-01 -3.3544794e-02 3.2266363e-01 1.2369517e-01 4.8177728e+34 3.6655105e-01
3.2996700e-01 5.8666667e-01 -6.7989536e-01 -3.3534036e-02 3.2262931e-01 1.2366692e-01 4.8128209e+34 3.6655105e-01
3.2996700e-01 5.9333333e-01 -6.7980111e-01 -3.3523154e-02 3.2259458e-01 1.2363836e-01 4.8078150e+34 3.6655105e-01
3.2996700e-01 6.0000000e-01 -6.7970581e-01 -3.3512145e-02 3.2255945e-01 1.2360947e-01 4.8027551e+34 3.6655105e-01
3.2996700e-01 6.0666667e-01 -6.7960947e-01 -3.3501010e-02 3.2252394e-01 1.2358026e-01 4.7976414e+34 3.6655105e-01
3.2996700e-01 6.1333333e-01 -6.7951209e-01 -3.3489750e-02 3.2248804e-01 1.2355074e-01 4.7924741e+34 3.6655105e-01
3.2996700e-01 6.2000000e-01 -6.7941367e-01 -3.3478364e-02 3.2245176e-01 1.2352090e-01 4.7872532e+34 3.6655105e-01
3.2996700e-01 6.2666667e-01 -6.7931421e-01 -3.3466854e-02 3.2241512e-01 1.2349074e-01 4.7819789e+34 3.6655105e-01
3.2996700e-01 6.3333333e-01 -6.7921371e-01 -3.3455221e-02 3.2237812e-01 1.2346027e-01 4.7766514e+34 3.6655105e-01
3.2996700e-01 6.4000000e-01 -6.7911218e-01 -3.3443466e-02 3.2234077e-01 1.2342947e-01 4.7712709e+34 3.6655105e-01
3.2996700e-01 6.4666667e-01 -6.7900962e-01 -3.3431590e-02 3.2230308e-01 1.2339836e-01 4.7658376e+34 3.6655105e-01
3.2996700e-01 6.5333333e-01 -6.7890603e-01 -3.3419596e-02 3.2226504e-01 1.2336694e-01 4.7603516e+34 3.6655105e-01
3.2996700e-01 6.6000000e-01 -6.7880141e-01 -3.3407484e-02 3.2222667e-01 1.2333520e-01 4.7548133e+34 3.6655105e-01
3.2996700e-01 6.6666667e-01 -6.7869576e-01 -3.3395258e-02 3.2218798e-01 1.2330314e-01 4.7492227e+34 3.6655105e-01
3.2996700e-01 6.7333333e-01 -6.7858909e-01 -3.3382920e-02 3.2214896e-01 1.2327076e-01 4.7435802e+34 3.6655105e-01
3.2996700e-01 6.8000000e-01 -6.7848140e-01 -3.3370471e-02 3.2210961e-01 1.2323807e-01 4.7378859e+34 3.6655105e-01
3.2996700e-01 6.8666667e-01 -6.7837269e-01 -3.3357914e-02 3.2206993e-01 1.2320506e-01 4.7321400e+34 3.6655105e-01
3.2996700e-01 6.9333333e-01 -6.7826297e-01 -3.3345251e-02 3.2202992e-01 1.2317174e-01 4.7263427e+34 3.6655105e-01
3.2996700e-01 7.0000000e-01 -6.7815222e-01 -3.3332484e-02 3.2198958e-01 1.2313811e-01 4.7204941e+34 3.6655105e-01
3.2996700e-01 7.0666667e-01 -6.7804046e-01 -3.3319615e-02 3.2194888e-01 1.2310416e-01 4.7145945e+34 3.6655105e-01
3.2996700e-01 7.1333333e-01 -6.7792767e-01 -3.3306646e-02 3.2190784e-01 1.2306990e-01 4.7086440e+34 3.6655105e-01
3.2996700e-01 7.2000000e-01 -6.7781387e-01 -3.3293577e-02 3.2186642e-01 1.2303532e-01 4.7026426e+34 3.6655105e-01
3.2996700e-01 7.2666667e-01 -6.7769905e-01 -3.3280409e-02 3.2182462e-01 1.2300044e-01 4.6965903e+34 3.6655105e-01
3.2996700e-01 7.3333333e-01 -6.7758321e-01 -3.3267141e-02 3.2178242e-01 1.2296524e-01 4.6904873e+34 3.6655105e-01
3.2996700e-01 7.4000000e-01 -6.7746635e-01 -3.3253774e-02 3.2173981e-01 1.2292972e-01 4.6843336e+34 3.6655105e-01
3.2996700e-01 7.4666667e-01 -6.7734846e-01 -3.3240306e-02 3.2169676e-01 1.2289390e-01 4.6781290e+34 3.6655105e-01
3.2996700e-01 7.5333333e-01 -6.7722954e-01 -3.3226736e-02 3.2165326e-01 1.2285777e-01 4.6718736e+34 3.6655105e-01
3.2996700e-01 7.6000000e-01 -6.7710959e-01 -3.3213060e-02 3.2160930e-01 1.2282132e-01 4.6655671e+34 3.6655105e-01
3.2996700e-01 7.6666667e-01 -6.7698861e-01 -3.3199275e-02 3.2156485e-01 1.2278456e-01 4.6592096e+34 3.6655105e-01
3.2996700e-01 7.7333333e-01 -6.7686658e-01 -3.3185377e-02 3.2151991e-01 1.2274749e-01 4.6528008e+34 3.6655105e-01
3.2996700e-01 7.8000000e-01 -6.7674352e-01 -3.3171361e-02 3.2147447e-01 1.2271011e-01 4.6463406e+34 3.6655105e-01
3.2996700e-01 7.8666667e-01 -6.7661941e-01 -3.3157224e-02 3.2142852e-01 1.2267241e-01 4.6398288e+34 3.6655105e-01
3.2996700e-01 7.9333333e-01 -6.7649425e-01 -3.3142958e-02 3.2138207e-01 1.2263441e-01 4.6332652e+34 3.6655105e-01
