
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.37794e+00 1.51498e+00 1.20012e+01 2.59978e-01 1.02141e+00 1.18972e-02 4.07482e-01 1.37748e+00 0.00000e+00 1.95702e+00 2.39144e-01 4.00401e-01 8.27572e-02 4.40903e-01 9.85081e+00 9.56040e-01 1.02141e+00 1.02141e+00 4.54927e+00 0.00000e+00 1.18291e+01 9.89496e-01 1.00000e+00 9.92728e-01 1.21830e+00 1.00000e+00 1.17999e+00 2.14609e-01 -2.34444e-01 2.03296e+00 -1.96866e+00 8.86961e-01 -1.71595e+00 -2.65292e+01 -2.65137e+01 -6.93346e-02 -6.92824e-02 -1.01354e+00 -2.45236e-01 -2.02203e+00 -1.75787e+00 1.99391e+01 4.21238e+01 3.15066e-02 -3.67285e+03 7.62295e+05 4.19510e+01 -9.36161e+06 5.66833e+00 4.79706e+00 4.55835e+00 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
3.2996700e-01 3.5333333e-01 -6.7357284e-01 -3.3818511e-02 3.1954277e-01 8.6964700e-02 5.1066590e+34 2.5997818e-01
3.2996700e-01 3.6000000e-01 -6.7354581e-01 -3.3815294e-02 3.1953280e-01 8.6958918e-02 5.1051787e+34 2.5997818e-01
3.2996700e-01 3.6666667e-01 -6.7351828e-01 -3.3812015e-02 3.1952267e-01 8.6953029e-02 5.1036709e+34 2.5997818e-01
3.2996700e-01 3.7333333e-01 -6.7349025e-01 -3.3808675e-02 3.1951236e-01 8.6947031e-02 5.1021356e+34 2.5997818e-01
3.2996700e-01 3.8000000e-01 -6.7346171e-01 -3.3805274e-02 3.1950188e-01 8.6940925e-02 5.1005729e+34 2.5997818e-01
3.2996700e-01 3.8666667e-01 -6.7343268e-01 -3.3801813e-02 3.1949123e-01 8.6934712e-02 5.0989829e+34 2.5997818e-01
3.2996700e-01 3.9333333e-01 -6.7340314e-01 -3.3798293e-02 3.1948042e-01 8.6928391e-02 5.0973655e+34 2.5997818e-01
3.2996700e-01 4.0000000e-01 -6.7337310e-01 -3.3794715e-02 3.1946944e-01 8.6921962e-02 5.0957210e+34 2.5997818e-01
3.2996700e-01 4.0666667e-01 -6.7334256e-01 -3.3791079e-02 3.1945829e-01 8.6915425e-02 5.0940493e+34 2.5997818e-01
3.2996700e-01 4.1333333e-01 -6.7331152e-01 -3.3787386e-02 3.1944698e-01 8.6908781e-02 5.0923505e+34 2.5997818e-01
3.2996700e-01 4.2000000e-01 -6.7327998e-01 -3.3783637e-02 3.1943551e-01 8.6902029e-02 5.0906246e+34 2.5997818e-01
3.2996700e-01 4.2666667e-01 -6.7324795e-01 -3.3779833e-02 3.1942387e-01 8.6895169e-02 5.0888718e+34 2.5997818e-01
3.2996700e-01 4.3333333e-01 -6.7321542e-01 -3.3775974e-02 3.1941207e-01 8.6888202e-02 5.0870920e+34 2.5997818e-01
3.2996700e-01 4.4000000e-01 -6.7318239e-01 -3.3772061e-02 3.1940010e-01 8.6881128e-02 5.0852853e+34 2.5997818e-01
3.2996700e-01 4.4666667e-01 -6.7314886e-01 -3.3768094e-02 3.1938796e-01 8.6873946e-02 5.0834516e+34 2.5997818e-01
3.2996700e-01 4.5333333e-01 -6.7311484e-01 -3.3764074e-02 3.1937565e-01 8.6866656e-02 5.0815912e+34 2.5997818e-01
3.2996700e-01 4.6000000e-01 -6.7308032e-01 -3.3760001e-02 3.1936317e-01 8.6859259e-02 5.0797039e+34 2.5997818e-01
3.2996700e-01 4.6666667e-01 -6.7304530e-01 -3.3755875e-02 3.1935051e-01 8.6851755e-02 5.0777898e+34 2.5997818e-01
3.2996700e-01 4.7333333e-01 -6.7300979e-01 -3.3751697e-02 3.1933766e-01 8.6844144e-02 5.0758488e+34 2.5997818e-01
3.2996700e-01 4.8000000e-01 -6.7297378e-01 -3.3747466e-02 3.1932463e-01 8.6836425e-02 5.0738811e+34 2.5997818e-01
3.2996700e-01 4.8666667e-01 -6.7293726e-01 -3.3743181e-02 3.1931141e-01 8.6828600e-02 5.0718865e+34 2.5997818e-01
3.2996700e-01 4.9333333e-01 -6.7290025e-01 -3.3738843e-02 3.1929800e-01 8.6820667e-02 5.0698650e+34 2.5997818e-01
3.2996700e-01 5.0000000e-01 -6.7286274e-01 -3.3734451e-02 3.1928438e-01 8.6812627e-02 5.0678166e+34 2.5997818e-01
3.2996700e-01 5.0666667e-01 -6.7282473e-01 -3.3730004e-02 3.1927057e-01 8.6804480e-02 5.0657413e+34 2.5997818e-01
3.2996700e-01 5.1333333e-01 -6.7278621e-01 -3.3725502e-02 3.1925655e-01 8.6796226e-02 5.0636390e+34 2.5997818e-01
3.2996700e-01 5.2000000e-01 -6.7274720e-01 -3.3720943e-02 3.1924231e-01 8.6787865e-02 5.0615096e+34 2.5997818e-01
3.2996700e-01 5.2666667e-01 -6.7270768e-01 -3.3716328e-02 3.1922786e-01 8.6779396e-02 5.0593532e+34 2.5997818e-01
3.2996700e-01 5.3333333e-01 -6.7266765e-01 -3.3711653e-02 3.1921320e-01 8.6770821e-02 5.0571697e+34 2.5997818e-01
3.2996700e-01 5.4000000e-01 -6.7262712e-01 -3.3706919e-02 3.1919832e-01 8.6762138e-02 5.0549589e+34 2.5997818e-01
3.2996700e-01 5.4666667e-01 -6.7258608e-01 -3.3702124e-02 3.1918321e-01 8.6753349e-02 5.0527210e+34 2.5997818e-01
3.2996700e-01 5.5333333e-01 -6.7254453e-01 -3.3697268e-02 3.1916789e-01 8.6744452e-02 5.0504557e+34 2.5997818e-01
3.2996700e-01 5.6000000e-01 -6.7250248e-01 -3.3692348e-02 3.1915235e-01 8.6735448e-02 5.0481631e+34 2.5997818e-01
3.2996700e-01 5.6666667e-01 -6.7245992e-01 -3.3687364e-02 3.1913658e-01 8.6726337e-02 5.0458431e+34 2.5997818e-01
3.2996700e-01 5.7333333e-01 -6.7241684e-01 -3.3682316e-02 3.1912060e-01 8.6717118e-02 5.0434957e+34 2.5997818e-01
3.2996700e-01 5.8000000e-01 -6.7237326e-01 -3.3677201e-02 3.1910441e-01 8.6707792e-02 5.0411209e+34 2.5997818e-01
3.2996700e-01 5.8666667e-01 -6.7232917e-01 -3.3672019e-02 3.1908801e-01 8.6698359e-02 5.0387186e+34 2.5997818e-01
3.2996700e-01 5.9333333e-01 -6.7228457e-01 -3.3666770e-02 3.1907141e-01 8.6688818e-02 5.0362889e+34 2.5997818e-01
3.2996700e-01 6.0000000e-01 -6.7223946e-01 -3.3661453e-02 3.1905461e-01 8.6679170e-02 5.0338318e+34 2.5997818e-01
3.2996700e-01 6.0666667e-01 -6.7219385e-01 -3.3656069e-02 3.1903762e-01 8.6669415e-02 5.0313473e+34 2.5997818e-01
3.2996700e-01 6.1333333e-01 -6.7214772e-01 -3.3650616e-02 3.1902045e-01 8.6659551e-02 5.0288355e+34 2.5997818e-01
3.2996700e-01 6.2000000e-01 -6.7210109e-01 -3.3645097e-02 3.1900310e-01 8.6649581e-02 5.0262964e+34 2.5997818e-01
3.2996700e-01 6.2666667e-01 -6.7205395e-01 -3.3639510e-02 3.1898559e-01 8.6639502e-02 5.0237300e+34 2.5997818e-01
3.2996700e-01 6.3333333e-01 -6.7200631e-01 -3.3633858e-02 3.1896791e-01 8.6629316e-02 5.0211366e+34 2.5997818e-01
3.2996700e-01 6.4000000e-01 -6.7195817e-01 -3.3628141e-02 3.1895009e-01 8.6619023e-02 5.0185161e+34 2.5997818e-01
3.2996700e-01 6.4666667e-01 -6.7190952e-01 -3.3622361e-02 3.1893212e-01 8.6608622e-02 5.0158687e+34 2.5997818e-01
3.2996700e-01 6.5333333e-01 -6.7186038e-01 -3.3616519e-02 3.1891402e-01 8.6598114e-02 5.0131945e+34 2.5997818e-01
3.2996700e-01 6.6000000e-01 -6.7181073e-01 -3.3610618e-02 3.1889578e-01 8.6587498e-02 5.0104937e+34 2.5997818e-01
3.2996700e-01 6.6666667e-01 -6.7176059e-01 -3.3604658e-02 3.1887741e-01 8.6576776e-02 5.0077663e+34 2.5997818e-01
3.2996700e-01 6.7333333e-01 -6.7170995e-01 -3.3598643e-02 3.1885891e-01 8.6565946e-02 5.0050124e+34 2.5997818e-01
3.2996700e-01 6.8000000e-01 -6.7165882e-01 -3.3592575e-02 3.1884028e-01 8.6555009e-02 5.0022323e+34 2.5997818e-01
3.2996700e-01 6.8666667e-01 -6.7160719e-01 -3.3586455e-02 3.1882153e-01 8.6543965e-02 4.9994259e+34 2.5997818e-01
3.2996700e-01 6.9333333e-01 -6.7155507e-01 -3.3580286e-02 3.1880264e-01 8.6532815e-02 4.9965934e+34 2.5997818e-01
3.2996700e-01 7.0000000e-01 -6.7150245e-01 -3.3574069e-02 3.1878361e-01 8.6521558e-02 4.9937349e+34 2.5997818e-01
3.2996700e-01 7.0666667e-01 -6.7144933e-01 -3.3567807e-02 3.1876443e-01 8.6510196e-02 4.9908504e+34 2.5997818e-01
3.2996700e-01 7.1333333e-01 -6.7139572e-01 -3.3561501e-02 3.1874509e-01 8.6498727e-02 4.9879399e+34 2.5997818e-01
3.2996700e-01 7.2000000e-01 -6.7134161e-01 -3.3555151e-02 3.1872557e-01 8.6487152e-02 4.9850035e+34 2.5997818e-01
3.2996700e-01 7.2666667e-01 -6.7128700e-01 -3.3548758e-02 3.1870586e-01 8.6475471e-02 4.9820411e+34 2.5997818e-01
3.2996700e-01 7.3333333e-01 -6.7123188e-01 -3.3542321e-02 3.1868594e-01 8.6463685e-02 4.9790526e+34 2.5997818e-01
3.2996700e-01 7.4000000e-01 -6.7117626e-01 -3.3535841e-02 3.1866580e-01 8.6451793e-02 4.9760379e+34 2.5997818e-01
3.2996700e-01 7.4666667e-01 -6.7112013e-01 -3.3529315e-02 3.1864542e-01 8.6439795e-02 4.9729968e+34 2.5997818e-01
3.2996700e-01 7.5333333e-01 -6.7106348e-01 -3.3522741e-02 3.1862477e-01 8.6427692e-02 4.9699292e+34 2.5997818e-01
3.2996700e-01 7.6000000e-01 -6.7100632e-01 -3.3516116e-02 3.1860384e-01 8.6415483e-02 4.9668349e+34 2.5997818e-01
3.2996700e-01 7.6666667e-01 -6.7094863e-01 -3.3509436e-02 3.1858263e-01 8.6403168e-02 4.9637135e+34 2.5997818e-01
3.2996700e-01 7.7333333e-01 -6.7089042e-01 -3.3502697e-02 3.1856110e-01 8.6390747e-02 4.9605649e+34 2.5997818e-01
3.2996700e-01 7.8000000e-01 -6.7083167e-01 -3.3495894e-02 3.1853926e-01 8.6378220e-02 4.9573887e+34 2.5997818e-01
3.2996700e-01 7.8666667e-01 -6.7077238e-01 -3.3489021e-02 3.1851710e-01 8.6365586e-02 4.9541846e+34 2.5997818e-01
3.2996700e-01 7.9333333e-01 -6.7071256e-01 -3.3482073e-02 3.1849462e-01 8.6352844e-02 4.9509524e+34 2.5997818e-01
3.2996700e-01 8.0000000e-01 -6.7065219e-01 -3.3475043e-02 3.1847183e-01 8.6339995e-02 4.9476917e+34 2.5997818e-01
3.2996700e-01 8.0666667e-01 -6.7059127e-01 -3.3467926e-02 3.1844875e-01 8.6327038e-02 4.9444022e+34 2.5997818e-01
3.2996700e-01 8.1333333e-01 -6.7052981e-01 -3.3460717e-02 3.1842538e-01 8.6313972e-02 4.9410838e+34 2.5997818e-01
3.2996700e-01 8.2000000e-01 -6.7046779e-01 -3.3453411e-02 3.1840176e-01 8.6300797e-02 4.9377363e+34 2.5997818e-01
3.2996700e-01 8.2666667e-01 -6.7040522e-01 -3.3446005e-02 3.1837792e-01 8.6287512e-02 4.9343595e+34 2.5997818e-01
3.2996700e-01 8.3333333e-01 -6.7034211e-01 -3.3438497e-02 3.1835390e-01 8.6274117e-02 4.9309535e+34 2.5997818e-01
3.2996700e-01 8.4000000e-01 -6.7027844e-01 -3.3430887e-02 3.1832974e-01 8.6260611e-02 4.9275184e+34 2.5997818e-01
3.2996700e-01 8.4666667e-01 -6.7021422e-01 -3.3423177e-02 3.1830548e-01 8.6246995e-02 4.9240544e+34 2.5997818e-01
3.2996700e-01 8.5333333e-01 -6.7014947e-01 -3.3415373e-02 3.1828116e-01 8.6233268e-02 4.9205616e+34 2.5997818e-01
3.2996700e-01 8.6000000e-01 -6.7008417e-01 -3.3407481e-02 3.1825683e-01 8.6219430e-02 4.9170404e+34 2.5997818e-01
3.2996700e-01 8.6666667e-01 -6.7001833e-01 -3.3399513e-02 3.1823250e-01 8.6205484e-02 4.9134914e+34 2.5997818e-01
3.2996700e-01 8.7333333e-01 -6.6995195e-01 -3.3391482e-02 3.1820821e-01 8.6191429e-02 4.9099149e+34 2.5997818e-01
3.2996700e-01 8.8000000e-01 -6.6988503e-01 -3.3383404e-02 3.1818395e-01 8.6177266e-02 4.9063115e+34 2.5997818e-01
3.2996700e-01 8.8666667e-01 -6.6981756e-01 -3.3375295e-02 3.1815970e-01 8.6162999e-02 4.9026814e+34 2.5997818e-01
3.2996700e-01 8.9333333e-01 -6.6974953e-01 -3.3367174e-02 3.1813540e-01 8.6148628e-02 4.8990251e+34 2.5997818e-01
3.2996700e-01 9.0000000e-01 -6.6968093e-01 -3.3359057e-02 3.1811098e-01 8.6134155e-02 4.8953424e+34 2.5997818e-01
3.2996700e-01 9.0666667e-01 -6.6961173e-01 -3.3350955e-02 3.1808633e-01 8.6119584e-02 4.8916329e+34 2.5997818e-01
3.2996700e-01 9.1333333e-01 -6.6954188e-01 -3.3342873e-02 3.1806129e-01 8.6104916e-02 4.8878955e+34 2.5997818e-01
3.2996700e-01 9.2000000e-01 -6.6947134e-01 -3.3334804e-02 3.1803567e-01 8.6090153e-02 4.8841284e+34 2.5997818e-01
3.2996700e-01 9.2666667e-01 -6.6940005e-01 -3.3326722e-02 3.1800926e-01 8.6075295e-02 4.8803284e+34 2.5997818e-01
3.2996700e-01 9.3333333e-01 -6.6932790e-01 -3.3318575e-02 3.1798184e-01 8.6060339e-02 4.8764912e+34 2.5997818e-01
3.2996700e-01 9.4000000e-01 -6.6925481e-01 -3.3310275e-02 3.1795317e-01 8.6045283e-02 4.8726105e+34 2.5997818e-01
3.2996700e-01 9.4666667e-01 -6.6918062e-01 -3.3301689e-02 3.1792306e-01 8.6030116e-02 4.8686774e+34 2.5997818e-01
3.2996700e-01 9.5333333e-01 -6.6910519e-01 -3.3292619e-02 3.1789140e-01 8.6014826e-02 4.8646806e+34 2.5997818e-01
3.2996700e-01 9.6000000e-01 -6.6902833e-01 -3.3282786e-02 3.1785821e-01 8.5999389e-02 4.8606049e+34 2.5997818e-01
3.2996700e-01 9.6666667e-01 -6.6894981e-01 -3.3271811e-02 3.1782374e-01 8.5983774e-02 4.8564310e+34 2.5997818e-01
3.2996700e-01 9.7333333e-01 -6.6886940e-01 -3.3259185e-02 3.1778857e-01 8.5967934e-02 4.8521343e+34 2.5997818e-01
3.2996700e-01 9.8000000e-01 -6.6878681e-01 -3.3244236e-02 3.1775375e-01 8.5951806e-02 4.8476844e+34 2.5997818e-01
3.2996700e-01 9.8666667e-01 -6.6870176e-01 -3.3226097e-02 3.1772100e-01 8.5935304e-02 4.8430435e+34 2.5997818e-01
3.2996700e-01 9.9333333e-01 -6.6861391e-01 -3.3203655e-02 3.1769385e-01 8.5918314e-02 4.8381654e+34 2.5997818e-01
3.2996700e-01 1.0000000e+00 -6.6852296e-01 -3.3175502e-02 3.1767373e-01 8.5900687e-02 4.8329944e+34 2.5997818e-01
3.3330000e-01 0.0000000e+00 -6.7026172e-01 -3.3387649e-02 3.1804651e-01 8.6334194e-02 4.9985521e+34 2.5997818e-01
